brand,item_name,rating,comments,all_price ($),shipping_cost (+$) ,shipping from,sold_quantity (+),view_quantity,notice,image_url
Apple,"Apple iPhone 11 - 128GB 64GB - GSM+CDMA Factory Unlocked ""Excellent'",4,Pre-Owned,208.00 to 375.00,32.83,from United States,12,10,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung S20+ Plus 5G Unlocked G986U 128GB Spot,15,Pre-Owned,123.90 to 156.45,28.68,from United States,82,166,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S20 5G G981U Unlocked 128GB Very Good,150,Very Good - Refurbished,198,29.47,from United States,474,21,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone 12 Unlocked 64GB 128GB 256GB | Verizon T-Mobile AT&T | Very Good,27,Very Good - Refurbished,404.98 to 424.98,25.56,from United States,68,89,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S20 | S20+ | S20 FE | S20 Ultra 5G 128GB - Unlocked Verizon AT&T,3,Open Box,134.95 to 329.95,22.05,from United States,109,99,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Galaxy,Galaxy Note 20 Ultra - 128GB - Black (Unlocked) (Read Description) BA1035,29,Pre-Owned,120,20.15,from United States,19,40,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
SAMSUNG,SAMSUNG GALAXY A54 128GB &256GB 5G DUAL SIM BRAND NEW SEALED PACK,1,Brand New,374.32 to 408.13,51.12,from United Kingdom,516,23,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone 13 mini - (Unlocked) - 128GB - 256GB - 512GB - Excellent,9,Excellent - Refurbished,499.00 to 549.00,35.19,from United States,77,38,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel 6 - 128GB - Stormy Black (Google Ed. Unlocked),9,Open Box,249.99,30.45,from United States,90,10,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S22/S22+ & S22 Ultra Series 5G Smartphones- Carrier Unlocked,13,Open Box,359.99 to 869.99,34.82,from United States,90,103,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
APPLE,APPLE IPHONE SE 3RD GEN 2022 5G UNLOCKED 64GB 128GB 256GB AT&T VERIZON T-MOBILE,5,Open Box,249.99 to 399.99,30.45,from United States,33,43,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone 11 Pro Max 64/256/512 - A2161 (CDMA + GSM) Unlocked - OPEN BOX -,142,Open Box,459,34.43,from United States,188,14,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,"Apple iPhone 12 Unlocked, 64GB/128GB/256GB, All Colours - Refurbished Fair",15,Good - Refurbished,363.07,50.77,from United Kingdom,"3,889",30,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
New,New Sealed Samsung Galaxy A14 64GB 128GB Unlocked 4G 5G Dual Sim All Colours,43,Brand New,160.24 to 191.54,45.42,from United Kingdom,58,9,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S21 5G 128GB Gray Pink White Violet (Unlocked) - Good,11,Good - Refurbished,215,29.79,from United States,155,20,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S20 5G G981U Unlocked 128GB,22,Pre-Owned,149,28.54,from United States,"3,335",7,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Huawei,"Huawei Honor 5X 4G LTE Android 5.5"" Dual-SIM 16GB Unlocked Smartphone",107,Pre-Owned,37.99,26.43,from United States,85,6,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S10 S10e S10+ Plus 128GB 512GB - Unlocked Verizon AT&T T-Mobile,49,Open Box,114.85 to 249.85,20.34,from United States,14,20,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone 8 | 8 Plus 64GB 128GB 256GB GSM Unlocked ATT T-Mobile Metro Cricket,142,Open Box,104.95 to 164.95,19.96,from United States,30,25,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
New,New Samsung Galaxy A14 4G 64GB Dual Sim Android Smart Phone Sim Free Bargain,23,Brand New,141.99,44.03,from United Kingdom,409,42,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
NEW,NEW LISTINGApple iPhone 13 Pro Max 128GB Graphite Sim Locked MLKL3LL/A,91,Parts Only,245,47.11,from United States,181,33,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
LG,"LG V60 ThinQ 5G Blue - GSM UNLOCKED - 128GB - Dual Screen Included. New, Sealed",6,Brand New,319.99,31.78,from United States,23,16,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel 4a - G025J - 128GB - Just Black - (Unlocked) - Good,142,Pre-Owned,89.99,27.41,from United States,725,22,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone 11 Pro Max 64GB 256GB 512GB Unlocked All Colours - Very Good,90,Very Good - Refurbished,374.35 to 588.44,51.12,from United Kingdom,23,15,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S21 | S21+ Plus 5G - 128GB - Unlocked | Verizon | T-Mobile | AT&T,32,Open Box,234.95 to 349.95,22.33,from United States,101,17,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Xiaomi,Xiaomi Redmi Note 12 4G 128GB 4GB RAM GSM Unlocked Global Version (New),8,Brand New,152.99,28.61,from United States,20,5,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
BRAND,BRAND NEW Samsung Galaxy S20 S20 FE S20 + PLUS S20 ULTRA - 128GB - Unlocked,37,Brand New,325.51 to 463.23,49.63,from United Kingdom,226,7,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy A14 5G (A146M) 128GB GSM Factory Unlocked Android (NEW),38,Brand New,189.95,29.31,from United States,67,63,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S20+ Plus 5G G986U Unlocked 128GB Good,18,Good - Refurbished,194,29.39,from United States,58,17,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S20+ Plus 5G G986U Unlocked 128GB Very Good,49,Very Good - Refurbished,219,29.87,from United States,161,57,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung S21 5G Unlocked G991U 128GB Spot,3,Pre-Owned,169,28.92,from United States,707,9,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy Note 20 5G N981U 128GB Gray Green Bronze Factory Unlocked - Good,11,Good - Refurbished,219,29.87,from United States,14,13,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel 6 - GB7N6 - 128GB - All Colors - (Unlocked) - Very Good,47,Very Good - Refurbished,204.99,29.6,from United States,24,36,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
NEW,NEW UNLOCKED SAMSUNG GALAXY S22 ULTRA 5G SM-S908U ALL COLORS AND MEMORY GSM+CDMA,37,Brand New,719.78 to 839.88,39.38,from United States,123,8,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Motorola,Motorola Moto RAZR 128GB 2019 Black XT2000-1 (Verizon) Reduced Price 9.5/10,8,Pre-Owned,139,28.35,from United States,178,39,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone X - 256 GB - All Colors - Fully Unlocked - Very Good Condition,3,Pre-Owned,168.00 to 287.00,28.9,from United States,591,16,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel 7 & 7 Pro 128GB 5G UW Smartphones- Carrier Unlocked Models,111,Open Box,397.29 to 589.99,33.4,from United States,180,35,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S9+ SM-G965U- 64GB (Factory Unlocked) C Stock Shadow,5,Pre-Owned,75,27.13,from United States,188,12,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S7 G930F 32GB Black White Gold Silver Unlocked - GOOD ⭐,18,Good - Refurbished,85.12 to 91.26,47.56,from United Kingdom,840,9,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
LG,LG G8X ThinQ LMG850UM1A - 128GB - Aurora Black (AT&T) WITH DUAL SCREEN,11,Open Box,132.99,28.23,from United States,59,52,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
In-Box,In-Box Samsung Galaxy S21+ Plus 5G SM-G996U 128GB Full Unlocked Excellent,18,Open Box,309.95,31.59,from United States,59,24,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
NEW,NEW LISTINGApple iPhone XR - 128GB - Black A1984 (CDMA + GSM) $100,31,Pre-Owned,100,34.6,from United States,107,22,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
New,New OnePlus Nord N200 5G 64GB - Blue Quantum (Single SIM) For Metro By T-Mobile,7,Brand New,74.99,19.29,from United States,21,82,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Motorola,Motorola Moto RAZR MOTXT20001 128GB 4G LTE GSM Unlocked Black Excellent,11,Pre-Owned,169.97,33.9,from United States,294,180,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
AT&T,AT&T FACTORY UNLOCK SERVICE Factory ATT Unlock Service only Clean iPhone,6,Brand New,8.98,Free,from United States,31,53,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone 12 Pro Max (Unlocked) 128GB 256GB 512GB,101,Very Good - Refurbished,619.97 to 679.97,37.86,from United States,151,240,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel 3 / 3 XL / 3a / 3a XL - 64GB/128GB - Factory Unlocked - Excellent,1,Open Box,76.79 to 112.70,27.81,from United States,40,31,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
NEW,"NEW LISTINGSamsung Galaxy S20 FE 5G (128GB, 6GB) 6.5"" AMOLED, Snapdragon 865, IP68 Water",6,Pre-Owned,129.99,28.17,from United States,55,16,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel 6 Pro - Black 128 GB (Unlocked Google Ed) Good**,45,Pre-Owned,259.85,30.64,from United States,30,5,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,"Samsung Galaxy S21 Ultra, 5G, 128GB, Phantom Black, Unlocked - Fair",150,Good - Refurbished,365.57,50.86,from United Kingdom,123,5,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
LG,LG V60 ThinQ 5G LMV600TM T-Mobile Unlocked 128GB Classy Blue UNLOCKED 8.5/10 **,226,Pre-Owned,174.85,29.03,from United States,15,6,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
New,New Sealed Samsung Galaxy A14 Smartphone 64GB Unlocked 4G Dual Sim All Colours,6,Brand New,148.24,44.22,from United Kingdom,30,9,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel 6 - GB7N6 - 128GB - All Colors - (Unlocked) - Good,89,Good - Refurbished,189.99,29.31,from United States,232,5,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel 5a (5G) - 128GB - Mostly Black - Unlocked - Google Ed. 9/10,12,Pre-Owned,149.85,28.55,from United States,321,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
New,New 2023 Android Cheap Cell Phone Factory Unlocked Smartphone Dual SIM Quad Core,11,Brand New,72.78 to 78.78,27.14,from United States,11,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
New,New Sealed Samsung Galaxy A23 Smartphone 128GB Unlocked 4G Dual Sim All Colours,128,Brand New,206.52 to 223.80,46.52,from United Kingdom,716,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone 11 - 64GB - All Colors - Fully Unlocked (CDMA+GSM) - Good Condition,2,Good - Refurbished,296.99 to 306.89,31.54,from United States,168,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy A54 5G (A546E) 128GB GSM Unlocked International Version (New),3,Brand New,315.99,31.71,from United States,282,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,"Apple iPhone 12 Pro Max Unlocked, 128GB/256GB/512GB, All Colours - Fair",11,Good - Refurbished,585.92 to 657.29,57.57,from United Kingdom,37,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel 6a GX7AS - 128GB - Black - (Unlocked) - Good,5,Good - Refurbished,189.99,29.31,from United States,68,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,"Apple iPhone 12 Mini Unlocked, 64GB/128GB/256GB, All Colours - Good Condition",7,Good - Refurbished,312.99 to 375.59,49.24,from United Kingdom,116,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
2023,2023 New Android Cheap Cell Phone Factory Unlocked Smartphone Dual SIM Quad Core,7,Brand New,65.69 to 70.19,26.99,from United States,26,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
BRAND,BRAND NEW Samsung Galaxy S21 S21+ plus S21 Ultra Unlocked smartphone BRAND NEW,1,Brand New,425.67 to 600.95,52.68,from United Kingdom,290,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S20 | S20+ | S20 FE | S20 Ultra 5G 128GB - Unlocked Verizon AT&T,41,Open Box,164.95 to 329.95,21.38,from United States,18,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
NEW,NEW UNLOCKED SAMSUNG GALAXY S21 ULTRA 5G SM-G998U ALL COLORS AND MEMORY GSM+CDMA,5,Brand New,469.88 to 748.88,34.63,from United States,18,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Refurbished,Refurbished Apple iPhone XR A1984 (Fully Unlocked) 64GB Black (Excellent),1072,Excellent - Refurbished,220,29.88,from United States,919,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy A53 5G 128GB - Black SM-A536 (Unlocked T-Mobile AT&T) Open Box,6,Open Box,199.99 to 259.99,29.69,from United States,254,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S20+ Plus 5G G986U Unlocked 128GB,22,Pre-Owned,154,28.63,from United States,47,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
LG,LG V60 ThinQ 5G LM-V600AM V600TM V600VM 128GB Unlocked Smartphone - New Sealed,9,Brand New,229.99,6,from China,44,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone 12 Pro Max- 256GB- All Colors - (Unlocked) - C Stock,81,Pre-Owned,549.99,36.15,from United States,106,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
NEW,NEW LISTINGApple iPhone 11 - 128GB - Black (Unlocked) A2221 (GSM),2,Pre-Owned,638.52,Free,from United Kingdom,81,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,"Apple iPhone 12 Pro Unlocked, 128GB/256GB/512GB, All Colours - Good Condition",11,Good - Refurbished,494.53 to 688.59,56.88,from United Kingdom,20,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
New,New Samsung Galaxy A14 64GB 4G Dual Sim Mobile Phone Android Unlocked UK Seller,142,Brand New,143.97,44.1,from United Kingdom,56,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S9 | S9+ Plus 64GB 128GB 256GB - (Unlocked) Verizon T-Mobile AT&T,45,Open Box,99.95 to 234.95,20.05,from United States,33,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
NEW,NEW LISTINGSamsung Galaxy S22 - PARTS ONLY - Read Description,107,Parts Only,180,35.67,from United States,483,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S21+ Plus 5G G996U 128GB (Fully Unlocked) Smartphone - Great,11,Good - Refurbished,322.99,31.84,from United States,92,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple IPhone 13 ATT- T-mobile -Verizon and Unlocked 128GB 256GB 512GB All colors,7,Open Box,519.99 to 569.99,36.15,from United States,160,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S20 5G G981U Unlocked 128GB Spot,1,Pre-Owned,124.95 to 135.45,28.28,from United States,47,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
NEW,NEW SAMSUNG GALAXY A14 128GB 5G 2023 RELEASE UNLOCKED DUAL SIM ANDRIOD PHONE UK.,14,Brand New,185.28,45.35,from United Kingdom,572,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Unlocked,Unlocked Motorola RAZR V3 Unlocked Flip GSM Bluetooth MP4 video Mobile Phone,38,Pre-Owned,39,26.45,from United States,119,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
CAT,CAT Phone S62 - 128GB - Rugged Waterproof Smartphone - Unlocked - OPEN BOX,7,Open Box,114.99,27.89,from United States,31,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel 6 Pro 5G Unlocked 128GB - 512GB All Colors G8VOU New Other,121,Open Box,378.98 to 468.98,32.92,from United States,80,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
APPLE,APPLE IPHONE 14 PRO MAX 5G UNLOCKED AT&T VERIZON T-MOBILE 128GB 256GB 512GB 1TB,45,Open Box,"999.99 to 1,199.99",44.7,from United States,172,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
NEW,NEW In Box Samsung Galaxy S9+ Plus G965U 64GB GSM Unlocked for AT&T & T-Mobile,50,Brand New,183.99,29.2,from United States,315,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
NEW,NEW UNLOCKED SAMSUNG GALAXY S20 ULTRA 5G SM-G988U 128GB BLACK GRAY GSM+CDMA,19,Brand New,344.88,32.26,from United States,442,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
New,New Samsung Galaxy A14 4G & 5G 64GB 4GB 128GB RAM Dual Sim Smart Phone Unlocked,51,Brand New,147.03 to 206.57,44.18,from United Kingdom,6,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Lot,"Lot of 5 Mix Apple iPods/iPhones for Scrap, Parts or Gold | iPhone 4 - iPhone XR",2,Parts Only,34.99,26.37,from United States,592,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
SAMSUNG,"SAMSUNG GALAXY S23,S23+ & S23 ULTRA 128GB,256GB & 512GB BRAND NEW DUAL SIM",5,Brand New,"771.21 to 1,146.81",63.23,from United Kingdom,38,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy Note 10 | Note 10+ Plus 256GB - Unlocked Verizon T-Mobile AT&T,2,Open Box,224.95 to 309.95,22.14,from United States,113,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S7 Active(SM-G891A)32GB Gray Gsm Unlocked Smartphone-Lcd Burns,64,Pre-Owned,35.1,26.37,from United States,15,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone XR - 64GB - All Colors - (AT&T) Smartphone - Very Good Condition,142,Very Good - Refurbished,197.99,29.47,from United States,46,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S20 5G G981U Unlocked 128GB GSM Smartphone - Used,11,Pre-Owned,175,29.03,from United States,22,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone 12 Pro Max - 128GB - Gray (ATT) (Read Description) BE1603,24,Parts Only,464,34.52,from United States,24,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
APPLE,APPLE IPHONE SE 3RD GEN 2022 5G UNLOCKED 64GB 128GB 256GB AT&T VERIZON T-MOBILE,124,Excellent - Refurbished,239.99 to 299.99,30.26,from United States,35,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy A03s - UNLOCKED - Android 12,150,Brand New,89,27.4,from United States,50,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Factory,Factory Unlocked Samsung Galaxy Z Flip3 5G SM-F711U 128GB Lavender - C GRADE,9,Pre-Owned,225,29.98,from United States,41,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,"Apple iPhone 11 128GB|64GB| GSM+CDMA Factory Unlocked ""Excellent'",1,Pre-Owned,217.00 to 390.00,29.83,from United States,88,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel 5a (5G) - 128GB - Mostly Black - Unlocked - Google Ed.,61,Open Box,179.99,29.12,from United States,354,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel 6 - GB7N6 - 256GB - Black - (Unlocked) - Good,7,Good - Refurbished,209.99,29.69,from United States,"1,156",None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
i13,i13 New Android Cheap Cell Phone Factory Unlocked Smartphone Dual SIM Octa Core,44,Brand New,79.19,27.21,from United States,117,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone XR 64/128/256GB A1984 AT&T T-Mobile Verizon Xfinity Unlocked Good,90,Pre-Owned,154.99 to 219.99,28.65,from United States,145,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel /Pixel XL 1 Gen - 32GB/64GB/128GB - Unlocked - Android Smartphone,18,Pre-Owned,39.95 to 69.95,24.18,from United States,86,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S7 SM-G930 - 32GB - Black Onyx (Verizon),8,Pre-Owned,35,32.02,from United States,82,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone 7 | 7+ Plus -32GB | 128GB - (Unlocked) (CDMA + GSM) Smartphone,90,Open Box,79.95 to 94.95,19.39,from United States,206,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S8 | S8+ Plus 64GB Unlocked Verizon T-Mobile AT&T Metro Sprint,83,Open Box,94.95 to 149.95,28.08,from United States,102,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone 12 - 64GB 128GB 256GB - All Colors - Excellent Condition,3,Excellent - Refurbished,320.00 to 487.00,31.78,from United States,113,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S10 G973U AT&T Sprint T-Mobile Verizon Unlocked - LCD SPOT SALE -,2,Pre-Owned,109.00 to 149.00,28.06,from United States,617,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
BRAND,BRAND NEW Samsung Galaxy S22 S22+ Plus S22 Ultra Unlocked smartphone BRAND NEW,7,Brand New,688.59 to 938.99,68.33,from United Kingdom,16,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S10 S10e S10+ Plus 128GB 512GB Unlocked Verizon T-Mobile AT&T,10,Open Box,114.85 to 249.85,20.34,from United States,579,None,None,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
